Fecha,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN DE OCAMPO,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATÁN,ZACATECAS
2020-02-26,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-02-27,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
2020-03-03,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-03-04,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-03-06,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
2020-03-09,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2020-03-13,,,,,,,2.0,1.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,
2020-03-14,,1.0,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,
2020-03-15,,2.0,,,,,3.0,,,1.0,,,,,,,2.0,,,,,,2.0,1.0,,,,,,,,
2020-03-16,,1.0,,,,,6.0,1.0,,,,,,1.0,,,2.0,,,,1.0,,,,2.0,,,,,,,1.0
2020-03-17,,1.0,,,,,5.0,1.0,,,,,,1.0,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,
2020-03-18,,3.0,,,,1.0,4.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,
2020-03-19,,2.0,,,,,6.0,,,1.0,,1.0,,,,,2.0,,,,,,,,1.0,,2.0,,,,,1.0
2020-03-20,,3.0,,,,,16.0,,,,,1.0,1.0,1.0,,,2.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,
2020-03-21,,,,,1.0,1.0,6.0,1.0,,,,1.0,1.0,1.0,,2.0,5.0,,,,1.0,,2.0,1.0,1.0,,,1.0,,,1.0,
2020-03-22,,,1.0,,,1.0,6.0,,,,1.0,,,,1.0,1.0,5.0,,1.0,,3.0,,2.0,,3.0,1.0,,,,,1.0,
2020-03-23,,4.0,1.0,,,,14.0,3.0,,,,,1.0,1.0,1.0,,3.0,,,,4.0,,1.0,,7.0,,1.0,1.0,,,1.0,
2020-03-24,,3.0,1.0,,,2.0,8.0,1.0,,1.0,,1.0,,,1.0,1.0,3.0,1.0,,,,,1.0,,4.0,1.0,1.0,1.0,1.0,,2.0,
2020-03-25,,6.0,,1.0,,3.0,13.0,2.0,,1.0,1.0,1.0,,1.0,2.0,,7.0,,,,,,1.0,,3.0,,1.0,,,,,
2020-03-26,,4.0,,,,3.0,16.0,2.0,,,1.0,,,,,,9.0,,1.0,2.0,1.0,2.0,3.0,,6.0,,,,,1.0,,
