Fecha,Confirmados,Confirmados_Ing,Sospechosos,Defunciones_Sint,Defunciones_Muer
2020-01-01,,,131,,
2020-01-02,4.0,,110,,
2020-01-03,4.0,,109,,
2020-01-04,1.0,,106,,
2020-01-05,3.0,4.0,160,,
2020-01-06,2.0,7.0,176,,
2020-01-07,4.0,2.0,167,,
2020-01-08,,4.0,146,,
2020-01-09,4.0,1.0,146,,
2020-01-10,6.0,2.0,145,,
2020-01-11,2.0,3.0,144,,
2020-01-12,3.0,4.0,212,,
2020-01-13,7.0,3.0,306,,
2020-01-14,9.0,8.0,249,,
2020-01-15,9.0,7.0,242,,
2020-01-16,4.0,11.0,202,,
2020-01-17,2.0,4.0,158,,
2020-01-18,4.0,3.0,174,,
2020-01-19,4.0,2.0,275,,
2020-01-20,3.0,3.0,305,,
2020-01-21,3.0,1.0,238,,
2020-01-22,2.0,6.0,208,,
2020-01-23,2.0,5.0,189,,
2020-01-24,5.0,2.0,206,1.0,
2020-01-25,2.0,5.0,207,,
2020-01-26,5.0,,258,,
2020-01-27,3.0,7.0,319,,
2020-01-28,1.0,2.0,249,,
2020-01-29,3.0,1.0,213,,
2020-01-30,,4.0,152,,
2020-01-31,3.0,1.0,152,,
2020-02-01,3.0,3.0,195,,
2020-02-02,4.0,,220,,
2020-02-03,6.0,7.0,259,,
2020-02-04,1.0,3.0,278,,
2020-02-05,1.0,2.0,215,,
2020-02-06,2.0,1.0,143,,
2020-02-07,1.0,3.0,162,,1.0
2020-02-08,2.0,,200,,
2020-02-09,7.0,5.0,239,,
2020-02-10,4.0,,300,,
2020-02-11,3.0,5.0,201,,
2020-02-12,4.0,4.0,172,,
2020-02-13,5.0,4.0,147,,
2020-02-14,9.0,,155,,
2020-02-15,7.0,10.0,227,,
2020-02-16,3.0,3.0,244,,
2020-02-17,8.0,4.0,253,,
2020-02-18,5.0,8.0,253,,
2020-02-19,8.0,13.0,207,,
2020-02-20,11.0,9.0,166,,
2020-02-21,9.0,4.0,159,,
2020-02-22,6.0,5.0,218,,
2020-02-23,3.0,3.0,236,,
2020-02-24,7.0,13.0,270,1.0,1.0
2020-02-25,8.0,5.0,233,,
2020-02-26,5.0,5.0,193,1.0,
2020-02-27,4.0,10.0,164,1.0,
2020-02-28,9.0,7.0,179,,
2020-02-29,8.0,2.0,266,,
2020-03-01,12.0,5.0,347,1.0,
2020-03-02,18.0,8.0,313,2.0,
2020-03-03,17.0,12.0,247,3.0,1.0
2020-03-04,14.0,9.0,225,3.0,
2020-03-05,12.0,10.0,183,,
2020-03-06,15.0,5.0,132,3.0,
2020-03-07,21.0,5.0,147,,
2020-03-08,29.0,8.0,233,2.0,
2020-03-09,69.0,5.0,268,2.0,
2020-03-10,57.0,15.0,266,1.0,
2020-03-11,62.0,39.0,222,1.0,
2020-03-12,92.0,39.0,149,1.0,
2020-03-13,113.0,65.0,185,8.0,1.0
2020-03-14,107.0,51.0,224,7.0,
2020-03-15,116.0,37.0,365,11.0,
2020-03-16,142.0,72.0,376,15.0,
2020-03-17,146.0,102.0,353,14.0,2.0
2020-03-18,154.0,118.0,345,13.0,3.0
2020-03-19,135.0,151.0,311,16.0,
2020-03-20,224.0,131.0,463,32.0,1.0
2020-03-21,154.0,81.0,401,26.0,
2020-03-22,176.0,68.0,521,27.0,2.0
2020-03-23,256.0,161.0,921,43.0,1.0
2020-03-24,203.0,220.0,890,34.0,2.0
2020-03-25,236.0,176.0,1015,43.0,2.0
2020-03-26,289.0,217.0,912,51.0,8.0
2020-03-27,310.0,254.0,953,49.0,8.0
2020-03-28,302.0,183.0,993,55.0,15.0
2020-03-29,290.0,153.0,1087,62.0,9.0
2020-03-30,419.0,331.0,1330,75.0,12.0
2020-03-31,327.0,305.0,1070,69.0,22.0
2020-04-01,516.0,359.0,1281,103.0,20.0
2020-04-02,470.0,335.0,876,102.0,27.0
2020-04-03,473.0,372.0,927,105.0,33.0
2020-04-04,476.0,238.0,884,94.0,34.0
2020-04-05,462.0,245.0,876,84.0,31.0
2020-04-06,625.0,603.0,1077,125.0,53.0
2020-04-07,549.0,496.0,934,126.0,56.0
2020-04-08,670.0,554.0,973,162.0,49.0
2020-04-09,661.0,456.0,893,132.0,55.0
2020-04-10,1029.0,536.0,1122,210.0,71.0
2020-04-11,777.0,442.0,1008,151.0,71.0
2020-04-12,820.0,447.0,1001,184.0,73.0
2020-04-13,1020.0,904.0,1334,230.0,87.0
2020-04-14,971.0,888.0,1119,207.0,96.0
2020-04-15,1128.0,935.0,1166,258.0,99.0
2020-04-16,1101.0,950.0,1130,243.0,90.0
2020-04-17,1260.0,1096.0,1131,273.0,118.0
2020-04-18,1344.0,765.0,1099,319.0,121.0
2020-04-19,1201.0,729.0,1167,273.0,148.0
2020-04-20,1970.0,1435.0,1499,422.0,176.0
2020-04-21,1302.0,1399.0,1017,276.0,177.0
2020-04-22,1337.0,1343.0,918,284.0,174.0
2020-04-23,1383.0,1425.0,886,305.0,186.0
2020-04-24,1648.0,1646.0,860,378.0,220.0
2020-04-25,1715.0,1077.0,834,374.0,240.0
2020-04-26,1518.0,1019.0,744,332.0,261.0
2020-04-27,1877.0,1832.0,830,407.0,231.0
2020-04-28,1648.0,1862.0,682,340.0,242.0
2020-04-29,1469.0,1831.0,584,297.0,315.0
2020-04-30,2066.0,1818.0,609,429.0,289.0
2020-05-01,2801.0,1445.0,912,588.0,339.0
2020-05-02,1989.0,1379.0,663,363.0,296.0
2020-05-03,1902.0,1274.0,650,359.0,285.0
2020-05-04,2417.0,2546.0,727,453.0,358.0
2020-05-05,2451.0,2117.0,788,520.0,342.0
