Fecha,Defunciones,Defunciones_Reg
2020-01-01,2440.0,199
2020-01-02,2486.0,1476
2020-01-03,2234.0,1799
2020-01-04,2279.0,1328
2020-01-05,2340.0,1081
2020-01-06,2457.0,2237
2020-01-07,2398.0,2191
2020-01-08,2315.0,2326
2020-01-09,2311.0,2187
2020-01-10,2378.0,2299
2020-01-11,2384.0,1451
2020-01-12,2371.0,1152
2020-01-13,2370.0,2897
2020-01-14,2456.0,2598
2020-01-15,2332.0,2503
2020-01-16,2360.0,2375
2020-01-17,2204.0,2543
2020-01-18,2190.0,1270
2020-01-19,2193.0,1114
2020-01-20,2271.0,2887
2020-01-21,2219.0,2589
2020-01-22,2197.0,2363
2020-01-23,2178.0,2322
2020-01-24,2173.0,2382
2020-01-25,2224.0,1308
2020-01-26,2268.0,1146
2020-01-27,2328.0,3015
2020-01-28,2165.0,2703
2020-01-29,2155.0,2373
2020-01-30,2087.0,2221
2020-01-31,2067.0,2248
2020-02-01,2219.0,1317
2020-02-02,2137.0,1221
2020-02-03,2251.0,1320
2020-02-04,2255.0,3041
2020-02-05,2193.0,2591
2020-02-06,2188.0,2484
2020-02-07,2193.0,2611
2020-02-08,2242.0,1331
2020-02-09,2298.0,1199
2020-02-10,2311.0,3003
2020-02-11,2143.0,2632
2020-02-12,2092.0,2475
2020-02-13,2051.0,2178
2020-02-14,1950.0,2194
2020-02-15,2207.0,1244
2020-02-16,2046.0,1070
2020-02-17,2166.0,2868
2020-02-18,2126.0,2520
2020-02-19,2080.0,2361
2020-02-20,2013.0,2247
2020-02-21,1986.0,2223
2020-02-22,2010.0,1204
2020-02-23,2091.0,1048
2020-02-24,2139.0,2664
2020-02-25,2048.0,2451
2020-02-26,1837.0,2347
2020-02-27,1907.0,2019
2020-02-28,1957.0,2010
2020-02-29,1958.0,1191
2020-03-01,2074.0,991
2020-03-02,2156.0,2684
2020-03-03,2103.0,2532
2020-03-04,2055.0,2298
2020-03-05,1972.0,2241
2020-03-06,1855.0,2322
2020-03-07,1839.0,1208
2020-03-08,2030.0,995
2020-03-09,2038.0,1830
2020-03-10,1898.0,2802
2020-03-11,2004.0,2402
2020-03-12,1969.0,2263
2020-03-13,1995.0,2281
2020-03-14,1930.0,1210
2020-03-15,1980.0,1104
2020-03-16,1847.0,1240
2020-03-17,1940.0,2847
2020-03-18,1844.0,2460
2020-03-19,1834.0,2229
2020-03-20,1953.0,2185
2020-03-21,1822.0,1158
2020-03-22,1898.0,1030
2020-03-23,1971.0,2414
2020-03-24,1925.0,2106
2020-03-25,1912.0,2010
2020-03-26,2012.0,1953
2020-03-27,1969.0,2058
2020-03-28,1909.0,1288
2020-03-29,1963.0,1030
2020-03-30,1993.0,2366
2020-03-31,1881.0,1977
2020-04-01,1963.0,2007
2020-04-02,1910.0,1897
2020-04-03,1891.0,2037
2020-04-04,1883.0,1316
2020-04-05,1951.0,1050
2020-04-06,1906.0,2158
2020-04-07,1964.0,1912
2020-04-08,1965.0,1882
2020-04-09,2048.0,1490
2020-04-10,1958.0,1400
2020-04-11,2056.0,1412
2020-04-12,2025.0,1251
2020-04-13,2164.0,2666
2020-04-14,2065.0,2293
2020-04-15,2107.0,2261
2020-04-16,2024.0,2017
2020-04-17,2131.0,2276
2020-04-18,2080.0,1529
2020-04-19,2320.0,1219
2020-04-20,2319.0,2810
2020-04-21,2317.0,2443
2020-04-22,2354.0,2564
2020-04-23,2431.0,2285
2020-04-24,2473.0,2747
2020-04-25,2500.0,1729
2020-04-26,2544.0,1609
2020-04-27,2506.0,2957
2020-04-28,2599.0,2716
2020-04-29,2678.0,2826
2020-04-30,2549.0,2697
2020-05-01,2710.0,2001
2020-05-02,2800.0,2056
2020-05-03,2912.0,1903
2020-05-04,2998.0,3399
2020-05-05,3016.0,2940
2020-05-06,2897.0,3440
2020-05-07,2823.0,3152
2020-05-08,2859.0,3019
2020-05-09,2898.0,2209
2020-05-10,3044.0,1827
2020-05-11,3053.0,3313
2020-05-12,3169.0,3427
2020-05-13,3124.0,3465
2020-05-14,3118.0,3244
2020-05-15,3141.0,3309
2020-05-16,3260.0,2371
2020-05-17,3326.0,2178
2020-05-18,3418.0,3707
2020-05-19,3237.0,3748
2020-05-20,3245.0,3596
2020-05-21,3358.0,3405
2020-05-22,3218.0,3458
2020-05-23,3210.0,2368
2020-05-24,3374.0,2086
2020-05-25,3402.0,4001
2020-05-26,3379.0,3682
2020-05-27,3239.0,3535
2020-05-28,3283.0,3451
2020-05-29,3155.0,3340
2020-05-30,3176.0,2252
2020-05-31,3354.0,1996
2020-06-01,3373.0,4015
2020-06-02,3351.0,3854
2020-06-03,3376.0,3617
2020-06-04,3476.0,3633
2020-06-05,3298.0,3567
2020-06-06,3428.0,2493
2020-06-07,3615.0,2056
2020-06-08,3750.0,4066
2020-06-09,3499.0,4125
2020-06-10,3434.0,3979
2020-06-11,3377.0,3567
2020-06-12,3437.0,3617
2020-06-13,3409.0,2367
2020-06-14,3522.0,2050
2020-06-15,3634.0,4170
2020-06-16,3552.0,3832
2020-06-17,3643.0,3851
2020-06-18,3439.0,3636
2020-06-19,3377.0,3706
2020-06-20,3382.0,2353
2020-06-21,3607.0,1888
2020-06-22,3628.0,4217
2020-06-23,3365.0,4062
2020-06-24,3396.0,3849
2020-06-25,3352.0,3698
2020-06-26,3457.0,3593
2020-06-27,3358.0,2381
2020-06-28,3696.0,1947
2020-06-29,3710.0,4317
2020-06-30,3467.0,3970
2020-07-01,3577.0,3945
2020-07-02,3339.0,3757
2020-07-03,3633.0,3832
2020-07-04,3587.0,2449
2020-07-05,3876.0,2059
2020-07-06,3878.0,4630
2020-07-07,3814.0,4164
2020-07-08,3680.0,4104
2020-07-09,3662.0,3892
2020-07-10,3562.0,4017
2020-07-11,3716.0,2287
2020-07-12,3872.0,2012
2020-07-13,3886.0,4749
2020-07-14,3757.0,4303
2020-07-15,3832.0,4206
2020-07-16,3589.0,3998
2020-07-17,3621.0,3993
2020-07-18,3620.0,2336
2020-07-19,3805.0,1993
2020-07-20,3852.0,4816
2020-07-21,3711.0,4256
2020-07-22,3618.0,4227
2020-07-23,3596.0,3904
2020-07-24,3479.0,3881
2020-07-25,3622.0,2241
2020-07-26,3611.0,1816
2020-07-27,3641.0,4383
2020-07-28,3647.0,4201
2020-07-29,3330.0,3936
2020-07-30,3513.0,3730
2020-07-31,3421.0,3717
2020-08-01,3562.0,2364
2020-08-02,3514.0,1855
2020-08-03,3582.0,4673
2020-08-04,3497.0,4238
2020-08-05,3409.0,4031
2020-08-06,3315.0,4051
2020-08-07,3247.0,3786
2020-08-08,3288.0,2142
2020-08-09,3339.0,1899
2020-08-10,3394.0,4340
2020-08-11,3179.0,3972
2020-08-12,3239.0,3737
2020-08-13,3199.0,3717
2020-08-14,3101.0,3599
2020-08-15,3125.0,2028
2020-08-16,3292.0,1809
2020-08-17,3215.0,4337
2020-08-18,3070.0,3759
2020-08-19,3111.0,3551
2020-08-20,2983.0,3609
2020-08-21,2946.0,3428
2020-08-22,3058.0,1934
2020-08-23,3173.0,1764
2020-08-24,3063.0,3881
2020-08-25,3020.0,3685
2020-08-26,2891.0,3510
2020-08-27,2853.0,3413
2020-08-28,2952.0,3248
2020-08-29,2871.0,1916
2020-08-30,3058.0,1605
2020-08-31,3048.0,3617
2020-09-01,2957.0,3779
2020-09-02,2831.0,3429
2020-09-03,2813.0,3174
2020-09-04,2826.0,3102
2020-09-05,2699.0,1811
2020-09-06,2801.0,1553
2020-09-07,2917.0,3558
2020-09-08,2795.0,3334
2020-09-09,2806.0,3287
2020-09-10,2643.0,3134
2020-09-11,2628.0,3189
2020-09-12,2725.0,1742
2020-09-13,2725.0,1559
2020-09-14,2787.0,3741
2020-09-15,2641.0,3184
2020-09-16,2676.0,1643
2020-09-17,2621.0,3416
2020-09-18,2532.0,3439
2020-09-19,2545.0,1712
2020-09-20,2759.0,1477
2020-09-21,2881.0,3718
2020-09-22,2592.0,3564
2020-09-23,2634.0,3160
2020-09-24,2720.0,3114
2020-09-25,2491.0,2993
2020-09-26,2627.0,1697
2020-09-27,2716.0,1515
2020-09-28,2679.0,3414
2020-09-29,2525.0,3171
2020-09-30,2471.0,2724
2020-10-01,2570.0,2994
2020-10-02,2581.0,3012
2020-10-03,2690.0,1707
2020-10-04,2677.0,1490
2020-10-05,2574.0,3598
2020-10-06,2617.0,3230
2020-10-07,2574.0,3027
2020-10-08,2520.0,2978
2020-10-09,2584.0,3016
2020-10-10,2707.0,1662
2020-10-11,2811.0,1514
2020-10-12,2725.0,3219
2020-10-13,2649.0,3540
2020-10-14,2673.0,3120
2020-10-15,2656.0,2881
2020-10-16,2532.0,3031
2020-10-17,2512.0,1650
2020-10-18,2642.0,1332
2020-10-19,2650.0,3353
