Fecha,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,6,4,6,4.0,3,-1
2020-02-16,7,6,7,6.0,2,-1
2020-02-17,2,4,3,5.0,11,-2
2020-02-18,0,-1,3,2.0,9,-2
2020-02-19,0,0,2,3.0,8,-1
2020-02-20,0,-1,2,3.0,7,-1
2020-02-21,-2,-2,-1,4.0,11,-1
2020-02-22,0,0,7,4.0,4,0
2020-02-23,2,1,8,7.0,2,-1
2020-02-24,-2,0,6,4.0,8,-1
2020-02-25,-2,-2,7,2.0,6,-1
2020-02-26,-3,-1,3,1.0,6,-1
2020-02-27,1,1,0,2.0,7,-1
2020-02-28,3,6,3,6.0,12,-2
2020-02-29,6,8,5,5.0,6,-1
2020-03-01,6,9,7,7.0,3,-1
2020-03-02,1,6,2,4.0,10,-2
2020-03-03,1,3,2,2.0,9,-2
2020-03-04,1,4,2,3.0,9,-1
2020-03-05,2,3,3,3.0,8,-1
2020-03-06,-1,0,0,3.0,12,-1
2020-03-07,1,2,4,2.0,6,0
2020-03-08,3,3,10,4.0,3,0
2020-03-09,-11,-6,-8,-17.0,-16,7
2020-03-10,-2,0,2,3.0,9,-2
2020-03-11,-1,2,2,2.0,8,-1
2020-03-12,1,4,3,3.0,8,-2
2020-03-13,2,6,3,5.0,5,-1
2020-03-14,2,10,6,4.0,3,-1
2020-03-15,0,7,6,-4.0,1,-1
2020-03-16,-11,5,-7,-30.0,-54,13
2020-03-17,-7,5,-8,-9.0,-3,2
2020-03-18,-13,3,-14,-17.0,-10,6
2020-03-19,-17,1,-16,-22.0,-14,7
2020-03-20,-23,-3,-22,-26.0,-14,9
2020-03-21,-31,-7,-32,-29.0,-7,9
2020-03-22,-37,-13,-37,-33.0,-10,8
2020-03-23,-31,-14,-30,-37.0,-29,12
2020-03-24,-35,-16,-33,-41.0,-34,14
2020-03-25,-37,-16,-36,-44.0,-36,16
2020-03-26,-37,-17,-36,-46.0,-37,16
2020-03-27,-39,-17,-37,-47.0,-34,17
2020-03-28,-40,-14,-39,-43.0,-18,12
2020-03-29,-45,-19,-46,-47.0,-20,11
2020-03-30,-35,-15,-36,-47.0,-38,15
2020-03-31,-35,-15,-37,-48.0,-41,16
2020-04-01,-37,-13,-39,-50.0,-44,18
2020-04-02,-47,-12,-41,-52.0,-46,19
2020-04-03,-56,-11,-43,-52.0,-43,21
2020-04-04,-57,-11,-46,-48.0,-27,16
